date,4. close
2010-01-05,3.53
2010-01-06,3.64
2010-01-07,3.65
2010-01-08,3.59
2010-01-11,3.63
2010-01-12,3.52
2010-01-13,3.5
2010-01-14,3.51
2010-01-15,3.42
2010-01-19,3.54
2010-01-20,3.46
2010-01-21,3.27
2010-01-22,3.25
2010-01-25,3.23
2010-01-26,3.15
2010-01-27,3.2
2010-01-28,3.24
2010-01-29,3.32
2010-02-01,3.34
2010-02-02,3.41
2010-02-03,3.37
2010-02-04,3.18
2010-02-05,3.22
2010-02-08,3.15
2010-02-09,3.18
2010-02-10,3.2
2010-02-11,3.21
2010-02-12,3.18
2010-02-16,3.31
2010-02-17,3.41
2010-02-18,3.43
2010-02-19,3.42
2010-02-22,3.46
2010-02-23,3.35
2010-02-24,3.45
2010-02-25,3.39
2010-02-26,3.4
2010-03-01,3.39
2010-03-02,3.4
2010-03-03,3.4
2010-03-04,3.43
2010-03-05,3.5
2010-03-08,3.56
2010-03-09,3.82
2010-03-10,3.96
2010-03-11,4.18
2010-03-12,3.97
2010-03-15,3.89
2010-03-16,4.05
2010-03-17,4.05
2010-03-18,4.02
2010-03-19,3.9
2010-03-22,4.04
2010-03-23,4.13
2010-03-24,4.15
2010-03-25,4.27
2010-03-26,4.31
2010-03-29,4.18
2010-03-30,4.09
2010-03-31,4.05
2010-04-01,4.18
2010-04-05,4.26
2010-04-06,4.29
2010-04-07,4.36
2010-04-08,4.47
2010-04-09,4.55
2010-04-12,4.64
2010-04-13,4.62
2010-04-14,4.93
2010-04-15,4.81
2010-04-16,4.56
2010-04-19,4.88
2010-04-20,4.97
2010-04-21,4.93
2010-04-22,4.87
2010-04-23,4.86
2010-04-26,4.61
2010-04-27,4.34
2010-04-28,4.45
2010-04-29,4.56
2010-04-30,4.37
2010-05-03,4.41
2010-05-04,4.26
2010-05-05,4.18
2010-05-06,4.04
2010-05-07,4.0
2010-05-10,4.22
2010-05-11,4.17
2010-05-12,4.18
2010-05-13,4.09
2010-05-14,3.98
2010-05-17,3.86
2010-05-18,3.73
2010-05-19,3.81
2010-05-20,3.63
2010-05-21,3.75
2010-05-24,3.78
2010-05-25,3.78
2010-05-26,3.86
2010-05-27,4.02
2010-05-28,3.96
2010-06-01,3.85
2010-06-02,3.92
2010-06-03,3.96
2010-06-04,3.79
2010-06-07,3.64
2010-06-08,3.72
2010-06-09,3.87
2010-06-10,3.9
2010-06-11,3.88
2010-06-14,3.88
2010-06-15,3.99
2010-06-16,3.99
2010-06-17,3.96
2010-06-18,4.01
2010-06-21,4.02
2010-06-22,3.94
2010-06-23,3.89
2010-06-24,3.78
2010-06-25,3.94
2010-06-28,4.0
2010-06-29,3.73
2010-06-30,3.76
2010-07-01,3.78
2010-07-02,3.79
2010-07-06,3.79
2010-07-07,3.9
